Mã sản phẩm	Đơn vị	Kho
00000783	Hộp	Kho hàng thường
00030901	Hộp	Kho hàng thường
00002984	Hộp	Kho hàng thường
00003571	Hộp	Kho hàng thường
00032207	lốc	Kho hàng thường
00003826	Hộp	Kho hàng thường
00002993	Hộp	Kho hàng thường
00004325	Hộp	Kho hàng cắt liều
00021268	chai	Kho hàng thường
00004973	Hộp	Kho hàng thường
00017951	Hộp	Kho hàng thường
00503044	chai	Kho hàng thường
00006379	chai	Kho hàng thường
00004933	Hộp	Kho hàng thường
00038770	Hộp	Kho hàng thường
00002078	Hộp	Kho hàng thường
00001288	Hộp	Kho hàng thường
00017054	Hộp	Kho hàng thường
00045302	Hộp	Kho hàng thường
00046959	Hộp	Kho hàng thường
00033583	Hộp	Kho hàng thường
00014558	Hộp	Kho hàng thường
00040582	Hộp	Kho hàng thường
00015306	Tuýp	Kho hàng thường
00502726	Hộp	Kho hàng thường
00009545	Hộp	Kho hàng thường
00001337	Hộp	Kho hàng thường
00003172	Hộp	Kho hàng thường
00002125	Hộp	Kho hàng thường
00002400	Hộp	Kho hàng thường
00004027	Hộp	Kho hàng thường
00014757	Hộp	Kho hàng thường
00000966	Hộp	Kho hàng thường
00045817	Hộp	Kho hàng thường
00001227	Hộp	Kho hàng thường
00004872	Hộp	Kho hàng thường
00004434	Hộp	Kho hàng thường
00022614	Hộp	Kho hàng thường
00006225	Hộp	Kho hàng thường
00004118	Hộp	Kho hàng thường
00006459	Hộp	Kho hàng thường
00030188	Hộp	Kho hàng thường
00007228	Hộp	Kho hàng thường
00006036	Hộp	Kho hàng thường
00001640	Hộp	Kho hàng thường
00004454	Hộp	Kho hàng thường
00005144	Hộp	Kho hàng thường
00001309	Hộp	Kho hàng thường
00020502	Hộp	Kho hàng thường
00002874	Hộp	Kho hàng thường
00002156	Hộp	Kho hàng thường
00000964	Hộp	Kho hàng thường
00004651	Hộp	Kho hàng thường
00022797	Hộp	Kho hàng thường
00004775	Hộp	Kho hàng thường
00005713	Hộp	Kho hàng thường
00002124	Hộp	Kho hàng thường
00013776	Hộp	Kho hàng thường
00003449	Hộp	Kho hàng thường
00001228	Hộp	Kho hàng thường
00010793	Hộp	Kho hàng thường
00045972	Hộp	Kho hàng thường
00032277	Hộp	Kho hàng thường
00003932	Hộp	Kho hàng thường
00018687	Hộp	Kho hàng thường
00002064	Hộp	Kho hàng thường
00001692	Hộp	Kho hàng thường
00005272	Hộp	Kho hàng thường
00007798	Hộp	Kho hàng thường
00031440	Hộp	Kho hàng thường
00007338	Hộp	Kho hàng thường
00006087	Hộp	Kho hàng thường
